# fpr ccr
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.012821 0.000000
0.025641 0.016129
0.025641 0.008065
0.025641 0.000000
0.038462 0.048387
0.038462 0.072581
0.051282 0.104839
0.064103 0.129032
0.076923 0.145161
0.089744 0.145161
0.089744 0.185484
0.115385 0.241935
0.115385 0.282258
0.115385 0.209677
0.128205 0.362903
0.128205 0.395161
0.141026 0.435484
0.153846 0.475806
0.179487 0.540323
0.205128 0.596774
0.230769 0.629032
0.243590 0.637097
0.282051 0.653226
0.282051 0.677419
0.320513 0.725806
0.358974 0.758065
0.410256 0.766129
0.461538 0.806452
0.487179 0.838710
0.525641 0.862903
0.602564 0.879032
0.666667 0.887097
0.679487 0.903226
0.782051 0.911290
0.833333 0.919355
0.871795 0.951613
0.884615 0.959677
0.897436 0.967742
0.910256 0.975806
0.935897 0.975806
0.974359 0.975806
0.974359 0.975806
0.974359 0.975806
0.987179 0.975806
1.000000 0.975806
1.000000 0.975806
1.000000 0.975806
1.000000 0.975806
1.000000 0.975806
1.000000 0.975806
1.000000 0.975806
1.000000 0.975806
1.000000 0.975806
1.000000 0.975806
1.000000 0.975806
1.000000 0.975806
1.000000 0.975806
1.000000 0.975806
1.000000 0.975806
1.000000 0.975806
1.000000 0.975806
1.000000 0.975806
1.000000 0.975806
1.000000 0.975806
1.000000 0.975806
1.000000 0.975806
1.000000 0.975806
