# fpr ccr
0.000000 0.008065
0.000000 0.008065
0.000000 0.032258
0.000000 0.032258
0.000000 0.032258
0.000000 0.032258
0.000000 0.088710
0.000000 0.064516
0.000000 0.040323
0.000000 0.056452
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.008065
0.012821 0.258065
0.012821 0.137097
0.012821 0.088710
0.012821 0.177419
0.038462 0.282258
0.038462 0.330645
0.051282 0.395161
0.076923 0.467742
0.076923 0.556452
0.089744 0.620968
0.115385 0.685484
0.141026 0.725806
0.166667 0.790323
0.192308 0.830645
0.230769 0.854839
0.269231 0.870968
0.294872 0.887097
0.333333 0.903226
0.358974 0.927419
0.423077 0.943548
0.448718 0.951613
0.551282 0.951613
0.615385 0.967742
0.679487 0.967742
0.769231 0.967742
0.871795 0.967742
0.897436 0.967742
0.961538 0.975806
0.987179 0.983871
0.987179 0.983871
0.987179 0.983871
1.000000 0.983871
1.000000 0.983871
1.000000 0.983871
1.000000 0.983871
1.000000 0.983871
1.000000 0.983871
1.000000 0.983871
1.000000 0.983871
1.000000 0.983871
1.000000 0.983871
1.000000 0.983871
1.000000 0.983871
1.000000 0.983871
1.000000 0.983871
1.000000 0.983871
1.000000 0.983871
1.000000 0.983871
1.000000 0.983871
1.000000 0.983871
1.000000 0.983871
1.000000 0.983871
1.000000 0.983871
1.000000 0.983871
