# fpr tpr
0.000000 0.000000
0.000000 0.007246
0.000000 0.181159
0.012821 0.181159
0.012821 0.210145
0.038462 0.210145
0.038462 0.231884
0.051282 0.231884
0.051282 0.246377
0.064103 0.246377
0.064103 0.260870
0.076923 0.260870
0.076923 0.311594
0.115385 0.311594
0.115385 0.340580
0.128205 0.340580
0.128205 0.362319
0.141026 0.362319
0.141026 0.369565
0.166667 0.369565
0.166667 0.376812
0.179487 0.376812
0.179487 0.413043
0.192308 0.413043
0.192308 0.420290
0.205128 0.420290
0.205128 0.442029
0.217949 0.442029
0.217949 0.456522
0.230769 0.456522
0.230769 0.485507
0.243590 0.485507
0.243590 0.500000
0.256410 0.500000
0.256410 0.514493
0.282051 0.514493
0.282051 0.557971
0.307692 0.557971
0.307692 0.681159
0.320513 0.681159
0.320513 0.688406
0.358974 0.688406
0.358974 0.695652
0.371795 0.695652
0.371795 0.710145
0.384615 0.710145
0.384615 0.724638
0.423077 0.724638
0.423077 0.731884
0.512821 0.731884
0.512821 0.753623
0.525641 0.753623
0.525641 0.804348
0.538462 0.804348
0.538462 0.833333
0.564103 0.833333
0.564103 0.840580
0.576923 0.840580
0.576923 0.847826
0.589744 0.847826
0.589744 0.855072
0.602564 0.855072
0.602564 0.869565
0.641026 0.869565
0.641026 0.884058
0.679487 0.884058
0.679487 0.913043
0.692308 0.913043
0.692308 0.920290
0.717949 0.920290
0.717949 0.927536
0.730769 0.927536
0.730769 0.934783
0.743590 0.934783
0.743590 0.942029
0.782051 0.942029
0.782051 0.956522
0.794872 0.956522
0.794872 0.963768
0.833333 0.963768
0.833333 0.971014
0.858974 0.971014
0.858974 0.978261
0.871795 0.978261
0.871795 0.985507
0.897436 0.985507
0.897436 0.992754
0.961538 0.992754
0.961538 1.000000
1.000000 1.000000
