# fpr tpr
0.000000 0.000000
0.000000 0.008065
0.000000 0.161290
0.025641 0.161290
0.025641 0.169355
0.038462 0.169355
0.038462 0.177419
0.102564 0.177419
0.102564 0.185484
0.115385 0.185484
0.115385 0.201613
0.153846 0.201613
0.153846 0.209677
0.192308 0.209677
0.192308 0.250000
0.205128 0.250000
0.205128 0.266129
0.230769 0.266129
0.230769 0.274194
0.243590 0.274194
0.243590 0.282258
0.269231 0.282258
0.269231 0.290323
0.282051 0.290323
0.282051 0.298387
0.294872 0.298387
0.294872 0.306452
0.307692 0.306452
0.307692 0.322581
0.320513 0.322581
0.320513 0.370968
0.358974 0.370968
0.358974 0.403226
0.371795 0.403226
0.371795 0.411290
0.384615 0.411290
0.384615 0.419355
0.435897 0.419355
0.435897 0.427419
0.448718 0.427419
0.448718 0.435484
0.500000 0.435484
0.500000 0.459677
0.512821 0.459677
0.512821 0.467742
0.525641 0.467742
0.525641 0.475806
0.538462 0.475806
0.538462 0.500000
0.551282 0.500000
0.551282 0.532258
0.564103 0.532258
0.564103 0.540323
0.576923 0.540323
0.576923 0.548387
0.589744 0.548387
0.589744 0.564516
0.615385 0.564516
0.615385 0.612903
0.679487 0.612903
0.679487 0.629032
0.705128 0.629032
0.705128 0.645161
0.730769 0.645161
0.730769 0.717742
0.756410 0.717742
0.756410 0.733871
0.769231 0.733871
0.769231 0.741935
0.794872 0.741935
0.794872 0.806452
0.807692 0.806452
0.807692 0.822581
0.846154 0.822581
0.846154 0.846774
0.858974 0.846774
0.858974 0.854839
0.910256 0.854839
0.910256 0.911290
0.923077 0.911290
0.923077 0.927419
0.935897 0.927419
0.935897 0.951613
0.948718 0.951613
0.948718 0.975806
0.961538 0.975806
0.961538 0.991935
1.000000 0.991935
1.000000 1.000000
