# fpr ccr
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.008065
0.000000 0.008065
0.000000 0.032258
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.012821 0.048387
0.025641 0.072581
0.025641 0.064516
0.025641 0.072581
0.038462 0.104839
0.051282 0.120968
0.051282 0.169355
0.076923 0.225806
0.089744 0.322581
0.102564 0.403226
0.153846 0.427419
0.179487 0.483871
0.205128 0.580645
0.230769 0.620968
0.269231 0.701613
0.307692 0.725806
0.371795 0.774194
0.487179 0.822581
0.500000 0.822581
0.538462 0.870968
0.576923 0.911290
0.666667 0.935484
0.743590 0.959677
0.756410 0.967742
0.769231 0.975806
0.794872 0.983871
0.820513 0.991935
0.858974 0.991935
0.871795 0.991935
0.987179 0.991935
1.000000 0.991935
1.000000 0.991935
1.000000 0.991935
1.000000 0.991935
1.000000 0.991935
1.000000 0.991935
1.000000 0.991935
1.000000 0.991935
1.000000 0.991935
1.000000 0.991935
1.000000 0.991935
1.000000 0.991935
1.000000 0.991935
1.000000 0.991935
1.000000 0.991935
1.000000 0.991935
1.000000 0.991935
1.000000 0.991935
1.000000 0.991935
1.000000 0.991935
1.000000 0.991935
1.000000 0.991935
1.000000 0.991935
1.000000 0.991935
1.000000 0.991935
1.000000 0.991935
