# fpr ccr
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.021739
0.012821 0.413043
0.012821 0.108696
0.012821 0.384058
0.012821 0.333333
0.012821 0.398551
0.012821 0.318841
0.012821 0.065217
0.012821 0.282609
0.012821 0.239130
0.012821 0.043478
0.012821 0.166667
0.025641 0.449275
0.025641 0.427536
0.025641 0.442029
0.025641 0.463768
0.064103 0.471014
0.064103 0.463768
0.064103 0.471014
0.076923 0.492754
0.102564 0.507246
0.128205 0.528986
0.141026 0.543478
0.153846 0.557971
0.179487 0.586957
0.217949 0.615942
0.269231 0.637681
0.269231 0.644928
0.294872 0.659420
0.320513 0.673913
0.358974 0.688406
0.423077 0.717391
0.474359 0.746377
0.551282 0.768116
0.615385 0.782609
0.653846 0.811594
0.666667 0.840580
0.743590 0.869565
0.794872 0.920290
0.871795 0.934783
0.910256 0.949275
0.961538 0.956522
0.987179 0.956522
0.987179 0.956522
0.987179 0.956522
0.987179 0.956522
0.987179 0.956522
0.987179 0.956522
1.000000 0.956522
1.000000 0.956522
1.000000 0.956522
1.000000 0.956522
1.000000 0.956522
1.000000 0.956522
1.000000 0.956522
1.000000 0.956522
1.000000 0.956522
1.000000 0.956522
1.000000 0.956522
1.000000 0.956522
1.000000 0.956522
1.000000 0.956522
1.000000 0.956522
1.000000 0.956522
1.000000 0.956522
1.000000 0.956522
1.000000 0.956522
1.000000 0.956522
1.000000 0.956522
1.000000 0.956522
1.000000 0.956522
