# fpr tpr
0.000000 0.000000
0.000000 0.008065
0.000000 0.137097
0.025641 0.137097
0.025641 0.241935
0.038462 0.241935
0.038462 0.322581
0.051282 0.322581
0.051282 0.346774
0.064103 0.346774
0.064103 0.370968
0.076923 0.370968
0.076923 0.395161
0.089744 0.395161
0.089744 0.451613
0.102564 0.451613
0.102564 0.459677
0.115385 0.459677
0.115385 0.475806
0.128205 0.475806
0.128205 0.491935
0.141026 0.491935
0.141026 0.532258
0.166667 0.532258
0.166667 0.548387
0.192308 0.548387
0.192308 0.629032
0.205128 0.629032
0.205128 0.637097
0.256410 0.637097
0.256410 0.685484
0.269231 0.685484
0.269231 0.725806
0.307692 0.725806
0.307692 0.741935
0.333333 0.741935
0.333333 0.750000
0.346154 0.750000
0.346154 0.766129
0.358974 0.766129
0.358974 0.774194
0.371795 0.774194
0.371795 0.806452
0.384615 0.806452
0.384615 0.822581
0.423077 0.822581
0.423077 0.830645
0.448718 0.830645
0.448718 0.838710
0.487179 0.838710
0.487179 0.854839
0.512821 0.854839
0.512821 0.862903
0.589744 0.862903
0.589744 0.887097
0.602564 0.887097
0.602564 0.895161
0.615385 0.895161
0.615385 0.903226
0.692308 0.903226
0.692308 0.943548
0.743590 0.943548
0.743590 0.959677
0.769231 0.959677
0.769231 0.967742
0.846154 0.967742
0.846154 0.975806
0.871795 0.975806
0.871795 0.983871
0.910256 0.983871
0.910256 0.991935
0.974359 0.991935
0.974359 1.000000
1.000000 1.000000
