# fpr tpr
0.000000 0.000000
0.000000 0.008065
0.000000 0.112903
0.025641 0.112903
0.025641 0.145161
0.038462 0.145161
0.038462 0.153226
0.051282 0.153226
0.051282 0.161290
0.076923 0.161290
0.076923 0.209677
0.089744 0.209677
0.089744 0.266129
0.102564 0.266129
0.102564 0.290323
0.141026 0.290323
0.141026 0.346774
0.153846 0.346774
0.153846 0.443548
0.166667 0.443548
0.166667 0.467742
0.179487 0.467742
0.179487 0.483871
0.192308 0.483871
0.192308 0.516129
0.205128 0.516129
0.205128 0.540323
0.217949 0.540323
0.217949 0.548387
0.230769 0.548387
0.230769 0.588710
0.243590 0.588710
0.243590 0.645161
0.256410 0.645161
0.256410 0.653226
0.269231 0.653226
0.269231 0.766129
0.307692 0.766129
0.307692 0.774194
0.333333 0.774194
0.333333 0.838710
0.346154 0.838710
0.346154 0.870968
0.384615 0.870968
0.384615 0.879032
0.397436 0.879032
0.397436 0.887097
0.423077 0.887097
0.423077 0.911290
0.435897 0.911290
0.435897 0.919355
0.512821 0.919355
0.512821 0.927419
0.538462 0.927419
0.538462 0.935484
0.589744 0.935484
0.589744 0.943548
0.615385 0.943548
0.615385 0.951613
0.628205 0.951613
0.628205 0.959677
0.641026 0.959677
0.641026 0.967742
0.666667 0.967742
0.666667 0.975806
0.692308 0.975806
0.692308 0.983871
0.717949 0.983871
0.717949 1.000000
1.000000 1.000000
