# fpr mean_tpr
0.000000 0.000000
0.001001 0.102501
0.002002 0.102501
0.003003 0.102501
0.004004 0.102501
0.005005 0.102501
0.006006 0.102501
0.007007 0.102501
0.008008 0.102501
0.009009 0.102501
0.010010 0.102501
0.011011 0.102501
0.012012 0.102501
0.013013 0.200199
0.014014 0.200199
0.015015 0.200199
0.016016 0.200199
0.017017 0.200199
0.018018 0.200199
0.019019 0.200199
0.020020 0.200199
0.021021 0.200199
0.022022 0.200199
0.023023 0.200199
0.024024 0.200199
0.025025 0.200199
0.026026 0.229780
0.027027 0.229780
0.028028 0.229780
0.029029 0.229780
0.030030 0.229780
0.031031 0.229780
0.032032 0.229780
0.033033 0.229780
0.034034 0.229780
0.035035 0.229780
0.036036 0.229780
0.037037 0.229780
0.038038 0.229780
0.039039 0.263079
0.040040 0.263079
0.041041 0.263079
0.042042 0.263079
0.043043 0.263079
0.044044 0.263079
0.045045 0.263079
0.046046 0.263079
0.047047 0.263079
0.048048 0.263079
0.049049 0.263079
0.050050 0.263079
0.051051 0.263079
0.052052 0.292976
0.053053 0.292976
0.054054 0.292976
0.055055 0.292976
0.056056 0.292976
0.057057 0.292976
0.058058 0.292976
0.059059 0.292976
0.060060 0.292976
0.061061 0.292976
0.062062 0.292976
0.063063 0.292976
0.064064 0.292976
0.065065 0.315942
0.066066 0.315942
0.067067 0.315942
0.068068 0.315942
0.069069 0.315942
0.070070 0.315942
0.071071 0.315942
0.072072 0.315942
0.073073 0.315942
0.074074 0.315942
0.075075 0.315942
0.076076 0.315942
0.077077 0.355037
0.078078 0.355037
0.079079 0.355037
0.080080 0.355037
0.081081 0.355037
0.082082 0.355037
0.083083 0.355037
0.084084 0.355037
0.085085 0.355037
0.086086 0.355037
0.087087 0.355037
0.088088 0.355037
0.089089 0.355037
0.090090 0.394215
0.091091 0.394215
0.092092 0.394215
0.093093 0.394215
0.094094 0.394215
0.095095 0.394215
0.096096 0.394215
0.097097 0.394215
0.098098 0.394215
0.099099 0.394215
0.100100 0.394215
0.101101 0.394215
0.102102 0.394215
0.103103 0.408567
0.104104 0.408567
0.105105 0.408567
0.106106 0.408567
0.107107 0.408567
0.108108 0.408567
0.109109 0.408567
0.110110 0.408567
0.111111 0.408567
0.112112 0.408567
0.113113 0.408567
0.114114 0.408567
0.115115 0.408567
0.116116 0.435250
0.117117 0.435250
0.118118 0.435250
0.119119 0.435250
0.120120 0.435250
0.121121 0.435250
0.122122 0.435250
0.123123 0.435250
0.124124 0.435250
0.125125 0.435250
0.126126 0.435250
