combination,accuracy,precision,recall
10,1.0,1.0,1.0
1,1.0,1.0,1.0
2,1.0,1.0,1.0
3,0.9710144927536232,0.9771428571428572,0.9683229813664596
4,1.0,1.0,1.0
5,1.0,1.0,1.0
6,1.0,1.0,1.0
7,0.9838709677419355,0.9836666666666666,0.9855483870967742
8,1.0,1.0,1.0
9,0.9919354838709677,0.9894736842105264,0.9904761904761905
average,0.9946820944366527,0.995028320802005,0.9944347558939425
