# fpr tpr
0.000000 0.000000
0.000000 0.007246
0.000000 0.108696
0.012821 0.108696
0.012821 0.115942
0.025641 0.115942
0.025641 0.181159
0.038462 0.181159
0.038462 0.217391
0.051282 0.217391
0.051282 0.289855
0.064103 0.289855
0.064103 0.297101
0.076923 0.297101
0.076923 0.318841
0.128205 0.318841
0.128205 0.362319
0.153846 0.362319
0.153846 0.369565
0.166667 0.369565
0.166667 0.376812
0.179487 0.376812
0.179487 0.384058
0.192308 0.384058
0.192308 0.391304
0.205128 0.391304
0.205128 0.398551
0.217949 0.398551
0.217949 0.434783
0.230769 0.434783
0.230769 0.442029
0.243590 0.442029
0.243590 0.471014
0.282051 0.471014
0.282051 0.478261
0.320513 0.478261
0.320513 0.485507
0.346154 0.485507
0.346154 0.492754
0.384615 0.492754
0.384615 0.500000
0.397436 0.500000
0.397436 0.514493
0.410256 0.514493
0.410256 0.521739
0.435897 0.521739
0.435897 0.528986
0.448718 0.528986
0.448718 0.543478
0.461538 0.543478
0.461538 0.572464
0.487179 0.572464
0.487179 0.637681
0.500000 0.637681
0.500000 0.666667
0.564103 0.666667
0.564103 0.673913
0.589744 0.673913
0.589744 0.717391
0.602564 0.717391
0.602564 0.724638
0.615385 0.724638
0.615385 0.731884
0.628205 0.731884
0.628205 0.746377
0.679487 0.746377
0.679487 0.775362
0.743590 0.775362
0.743590 0.789855
0.756410 0.789855
0.756410 0.797101
0.769231 0.797101
0.769231 0.804348
0.782051 0.804348
0.782051 0.818841
0.807692 0.818841
0.807692 0.826087
0.820513 0.826087
0.820513 0.840580
0.846154 0.840580
0.846154 0.855072
0.858974 0.855072
0.858974 0.862319
0.871795 0.862319
0.871795 0.869565
0.884615 0.869565
0.884615 0.891304
0.897436 0.891304
0.897436 0.905797
0.923077 0.905797
0.923077 0.934783
0.935897 0.934783
0.935897 0.942029
0.948718 0.942029
0.948718 0.949275
0.961538 0.949275
0.961538 0.971014
0.974359 0.971014
0.974359 1.000000
1.000000 1.000000
