# fpr ccr
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.012821 0.000000
0.038462 0.000000
0.076923 0.000000
0.128205 0.000000
0.192308 0.000000
0.269231 0.000000
0.346154 0.000000
0.448718 0.000000
0.641026 0.000000
0.679487 0.000000
0.794872 0.000000
0.858974 0.000000
0.923077 0.000000
0.948718 0.000000
0.974359 0.000000
0.987179 0.000000
1.000000 0.000000
1.000000 0.000000
1.000000 0.000000
1.000000 0.000000
1.000000 0.000000
1.000000 0.000000
1.000000 0.000000
1.000000 0.000000
1.000000 0.000000
1.000000 0.000000
1.000000 0.000000
1.000000 0.000000
1.000000 0.000000
1.000000 0.000000
1.000000 0.000000
1.000000 0.000000
1.000000 0.000000
1.000000 0.000000
1.000000 0.000000
1.000000 0.000000
1.000000 0.000000
1.000000 0.000000
1.000000 0.000000
1.000000 0.000000
1.000000 0.000000
1.000000 0.000000
1.000000 0.000000
1.000000 0.000000
1.000000 0.000000
1.000000 0.000000
1.000000 0.000000
1.000000 0.000000
1.000000 0.000000
