# fpr tpr
0.000000 0.000000
0.012821 0.000000
0.012821 0.007246
0.051282 0.007246
0.051282 0.094203
0.064103 0.094203
0.064103 0.101449
0.076923 0.101449
0.076923 0.108696
0.102564 0.108696
0.102564 0.130435
0.115385 0.130435
0.115385 0.144928
0.153846 0.144928
0.153846 0.159420
0.166667 0.159420
0.166667 0.173913
0.192308 0.173913
0.192308 0.188406
0.205128 0.188406
0.205128 0.195652
0.217949 0.195652
0.217949 0.202899
0.243590 0.202899
0.243590 0.210145
0.256410 0.210145
0.256410 0.217391
0.269231 0.217391
0.269231 0.246377
0.282051 0.246377
0.282051 0.253623
0.294872 0.253623
0.294872 0.282609
0.307692 0.282609
0.307692 0.405797
0.333333 0.405797
0.333333 0.413043
0.346154 0.413043
0.346154 0.434783
0.358974 0.434783
0.358974 0.449275
0.371795 0.449275
0.371795 0.463768
0.384615 0.463768
0.384615 0.485507
0.410256 0.485507
0.410256 0.492754
0.423077 0.492754
0.423077 0.565217
0.487179 0.565217
0.487179 0.572464
0.500000 0.572464
0.500000 0.630435
0.512821 0.630435
0.512821 0.717391
0.525641 0.717391
0.525641 0.731884
0.551282 0.731884
0.551282 0.739130
0.564103 0.739130
0.564103 0.746377
0.576923 0.746377
0.576923 0.760870
0.615385 0.760870
0.615385 0.775362
0.653846 0.775362
0.653846 0.789855
0.666667 0.789855
0.666667 0.797101
0.692308 0.797101
0.692308 0.826087
0.705128 0.826087
0.705128 0.840580
0.717949 0.840580
0.717949 0.847826
0.730769 0.847826
0.730769 0.855072
0.743590 0.855072
0.743590 0.862319
0.769231 0.862319
0.769231 0.876812
0.782051 0.876812
0.782051 0.884058
0.820513 0.884058
0.820513 0.898551
0.833333 0.898551
0.833333 0.905797
0.846154 0.905797
0.846154 0.913043
0.858974 0.913043
0.858974 0.927536
0.871795 0.927536
0.871795 0.942029
0.884615 0.942029
0.884615 0.949275
0.897436 0.949275
0.897436 0.956522
0.910256 0.956522
0.910256 0.963768
0.923077 0.963768
0.923077 0.971014
0.935897 0.971014
0.935897 0.985507
0.961538 0.985507
0.961538 1.000000
1.000000 1.000000
