# fpr tpr
0.000000 0.000000
0.000000 0.008065
0.025641 0.008065
0.025641 0.032258
0.076923 0.032258
0.076923 0.040323
0.089744 0.040323
0.089744 0.048387
0.102564 0.048387
0.102564 0.072581
0.115385 0.072581
0.115385 0.145161
0.128205 0.145161
0.128205 0.201613
0.153846 0.201613
0.153846 0.217742
0.166667 0.217742
0.166667 0.282258
0.205128 0.282258
0.205128 0.322581
0.217949 0.322581
0.217949 0.338710
0.230769 0.338710
0.230769 0.354839
0.243590 0.354839
0.243590 0.370968
0.256410 0.370968
0.256410 0.395161
0.282051 0.395161
0.282051 0.411290
0.294872 0.411290
0.294872 0.419355
0.320513 0.419355
0.320513 0.459677
0.333333 0.459677
0.333333 0.483871
0.346154 0.483871
0.346154 0.491935
0.371795 0.491935
0.371795 0.532258
0.384615 0.532258
0.384615 0.548387
0.423077 0.548387
0.423077 0.556452
0.435897 0.556452
0.435897 0.564516
0.448718 0.564516
0.448718 0.588710
0.461538 0.588710
0.461538 0.604839
0.512821 0.604839
0.512821 0.612903
0.538462 0.612903
0.538462 0.629032
0.576923 0.629032
0.576923 0.653226
0.641026 0.653226
0.641026 0.661290
0.666667 0.661290
0.666667 0.677419
0.679487 0.677419
0.679487 0.685484
0.743590 0.685484
0.743590 0.725806
0.794872 0.725806
0.794872 0.733871
0.820513 0.733871
0.820513 0.782258
0.833333 0.782258
0.833333 0.790323
0.858974 0.790323
0.858974 0.806452
0.884615 0.806452
0.884615 0.814516
0.910256 0.814516
0.910256 0.822581
0.923077 0.822581
0.923077 0.846774
0.935897 0.846774
0.935897 0.854839
0.948718 0.854839
0.948718 0.919355
0.974359 0.919355
0.974359 0.943548
1.000000 0.943548
1.000000 1.000000
