# fpr mean_ccr
0.000000 0.000000
0.001001 0.000000
0.002002 0.000000
0.003003 0.000000
0.004004 0.000000
0.005005 0.000000
0.006006 0.000000
0.007007 0.000000
0.008008 0.000000
0.009009 0.000000
0.010010 0.000000
0.011011 0.000000
0.012012 0.000000
0.013013 0.000012
0.014014 0.000075
0.015015 0.000138
0.016016 0.000201
0.017017 0.000264
0.018018 0.000327
0.019019 0.000390
0.020020 0.000453
0.021021 0.000516
0.022022 0.000579
0.023023 0.000642
0.024024 0.000705
0.025025 0.000768
0.026026 0.000831
0.027027 0.000894
0.028028 0.000957
0.029029 0.001020
0.030030 0.001083
0.031031 0.001146
0.032032 0.001208
0.033033 0.001271
0.034034 0.001334
0.035035 0.001397
0.036036 0.001460
0.037037 0.001523
0.038038 0.001586
0.039039 0.001613
0.040040 0.001613
0.041041 0.001613
0.042042 0.001613
0.043043 0.001613
0.044044 0.001613
0.045045 0.001613
0.046046 0.001613
0.047047 0.001613
0.048048 0.001613
0.049049 0.001613
0.050050 0.001613
0.051051 0.001613
0.052052 0.001613
0.053053 0.001613
0.054054 0.001613
0.055055 0.001613
0.056056 0.001613
0.057057 0.001613
0.058058 0.001613
0.059059 0.001613
0.060060 0.001613
0.061061 0.001613
0.062062 0.001613
0.063063 0.001613
0.064064 0.001613
0.065065 0.001613
0.066066 0.001613
0.067067 0.001613
0.068068 0.001613
0.069069 0.001613
0.070070 0.001613
0.071071 0.001613
0.072072 0.001613
0.073073 0.001613
0.074074 0.001613
0.075075 0.001613
0.076076 0.001613
0.077077 0.001613
0.078078 0.001613
0.079079 0.001613
0.080080 0.001613
0.081081 0.001613
0.082082 0.001613
0.083083 0.001613
0.084084 0.001613
0.085085 0.001613
0.086086 0.001613
0.087087 0.001613
0.088088 0.001613
0.089089 0.001613
0.090090 0.001613
0.091091 0.001613
0.092092 0.001613
0.093093 0.001613
0.094094 0.001613
0.095095 0.001613
0.096096 0.001613
0.097097 0.001613
0.098098 0.001613
0.099099 0.001613
0.100100 0.001613
0.101101 0.001613
0.102102 0.001613
0.103103 0.001613
0.104104 0.001613
0.105105 0.001613
0.106106 0.001613
0.107107 0.001613
0.108108 0.001613
0.109109 0.001613
0.110110 0.001613
0.111111 0.001613
0.112112 0.001613
0.113113 0.001613
0.114114 0.001613
0.115115 0.001613
0.116116 0.001613
0.117117 0.001613
0.118118 0.001613
0.119119 0.001613
0.120120 0.001613
0.121121 0.001613
0.122122 0.001613
0.123123 0.001613
0.124124 0.001613
0.125125 0.001613
0.126126 0.001613
0.127127 0.001613
0.128128 0.001613
0.129129 0.001613
0.130130 0.001613
0.131131 0.001613
