# fpr tpr
0.000000 0.000000
0.000000 0.007246
0.000000 0.065217
0.012821 0.065217
0.012821 0.072464
0.025641 0.072464
0.025641 0.079710
0.038462 0.079710
0.038462 0.137681
0.051282 0.137681
0.051282 0.144928
0.064103 0.144928
0.064103 0.173913
0.076923 0.173913
0.076923 0.224638
0.089744 0.224638
0.089744 0.268116
0.141026 0.268116
0.141026 0.333333
0.153846 0.333333
0.153846 0.362319
0.166667 0.362319
0.166667 0.376812
0.179487 0.376812
0.179487 0.384058
0.230769 0.384058
0.230769 0.405797
0.243590 0.405797
0.243590 0.492754
0.282051 0.492754
0.282051 0.500000
0.307692 0.500000
0.307692 0.528986
0.320513 0.528986
0.320513 0.536232
0.346154 0.536232
0.346154 0.550725
0.358974 0.550725
0.358974 0.557971
0.397436 0.557971
0.397436 0.608696
0.410256 0.608696
0.410256 0.630435
0.423077 0.630435
0.423077 0.637681
0.435897 0.637681
0.435897 0.659420
0.487179 0.659420
0.487179 0.673913
0.500000 0.673913
0.500000 0.688406
0.576923 0.688406
0.576923 0.695652
0.589744 0.695652
0.589744 0.710145
0.602564 0.710145
0.602564 0.717391
0.628205 0.717391
0.628205 0.739130
0.641026 0.739130
0.641026 0.746377
0.679487 0.746377
0.679487 0.760870
0.692308 0.760870
0.692308 0.768116
0.705128 0.768116
0.705128 0.775362
0.730769 0.775362
0.730769 0.811594
0.743590 0.811594
0.743590 0.847826
0.769231 0.847826
0.769231 0.876812
0.794872 0.876812
0.794872 0.884058
0.807692 0.884058
0.807692 0.905797
0.833333 0.905797
0.833333 0.934783
0.846154 0.934783
0.846154 0.942029
0.871795 0.942029
0.871795 0.949275
0.884615 0.949275
0.884615 0.956522
0.897436 0.956522
0.897436 0.963768
0.910256 0.963768
0.910256 0.985507
0.923077 0.985507
0.923077 0.992754
0.961538 0.992754
0.961538 1.000000
1.000000 1.000000
