# fpr tpr
0.000000 0.000000
0.000000 0.008065
0.000000 0.169355
0.012821 0.169355
0.012821 0.201613
0.038462 0.201613
0.038462 0.233871
0.102564 0.233871
0.102564 0.258065
0.115385 0.258065
0.115385 0.274194
0.128205 0.274194
0.128205 0.290323
0.141026 0.290323
0.141026 0.306452
0.153846 0.306452
0.153846 0.314516
0.166667 0.314516
0.166667 0.330645
0.205128 0.330645
0.205128 0.346774
0.217949 0.346774
0.217949 0.362903
0.230769 0.362903
0.230769 0.395161
0.243590 0.395161
0.243590 0.403226
0.269231 0.403226
0.269231 0.419355
0.282051 0.419355
0.282051 0.427419
0.320513 0.427419
0.320513 0.451613
0.346154 0.451613
0.346154 0.459677
0.358974 0.459677
0.358974 0.491935
0.384615 0.491935
0.384615 0.500000
0.397436 0.500000
0.397436 0.508065
0.423077 0.508065
0.423077 0.516129
0.435897 0.516129
0.435897 0.524194
0.474359 0.524194
0.474359 0.540323
0.512821 0.540323
0.512821 0.548387
0.538462 0.548387
0.538462 0.556452
0.551282 0.556452
0.551282 0.580645
0.576923 0.580645
0.576923 0.604839
0.602564 0.604839
0.602564 0.612903
0.653846 0.612903
0.653846 0.629032
0.666667 0.629032
0.666667 0.661290
0.717949 0.661290
0.717949 0.669355
0.730769 0.669355
0.730769 0.677419
0.743590 0.677419
0.743590 0.693548
0.756410 0.693548
0.756410 0.733871
0.807692 0.733871
0.807692 0.798387
0.820513 0.798387
0.820513 0.854839
0.833333 0.854839
0.833333 0.879032
0.884615 0.879032
0.884615 0.911290
0.910256 0.911290
0.910256 0.919355
0.935897 0.919355
0.935897 0.951613
0.948718 0.951613
0.948718 0.991935
0.961538 0.991935
0.961538 1.000000
1.000000 1.000000
