# fpr tpr
0.000000 0.000000
0.012821 0.000000
0.012821 0.032258
0.025641 0.032258
0.025641 0.072581
0.038462 0.072581
0.038462 0.080645
0.051282 0.080645
0.051282 0.096774
0.064103 0.096774
0.064103 0.112903
0.076923 0.112903
0.076923 0.129032
0.089744 0.129032
0.089744 0.137097
0.102564 0.137097
0.102564 0.161290
0.115385 0.161290
0.115385 0.169355
0.128205 0.169355
0.128205 0.201613
0.153846 0.201613
0.153846 0.209677
0.192308 0.209677
0.192308 0.241935
0.230769 0.241935
0.230769 0.258065
0.243590 0.258065
0.243590 0.274194
0.256410 0.274194
0.256410 0.298387
0.269231 0.298387
0.269231 0.330645
0.282051 0.330645
0.282051 0.354839
0.294872 0.354839
0.294872 0.370968
0.307692 0.370968
0.307692 0.379032
0.320513 0.379032
0.320513 0.419355
0.333333 0.419355
0.333333 0.427419
0.346154 0.427419
0.346154 0.443548
0.358974 0.443548
0.358974 0.451613
0.371795 0.451613
0.371795 0.516129
0.397436 0.516129
0.397436 0.524194
0.448718 0.524194
0.448718 0.540323
0.461538 0.540323
0.461538 0.548387
0.474359 0.548387
0.474359 0.556452
0.487179 0.556452
0.487179 0.564516
0.500000 0.564516
0.500000 0.580645
0.512821 0.580645
0.512821 0.612903
0.551282 0.612903
0.551282 0.637097
0.564103 0.637097
0.564103 0.645161
0.576923 0.645161
0.576923 0.685484
0.615385 0.685484
0.615385 0.693548
0.641026 0.693548
0.641026 0.717742
0.653846 0.717742
0.653846 0.725806
0.679487 0.725806
0.679487 0.733871
0.692308 0.733871
0.692308 0.741935
0.705128 0.741935
0.705128 0.750000
0.717949 0.750000
0.717949 0.758065
0.743590 0.758065
0.743590 0.766129
0.794872 0.766129
0.794872 0.782258
0.807692 0.782258
0.807692 0.822581
0.820513 0.822581
0.820513 0.887097
0.858974 0.887097
0.858974 0.903226
0.884615 0.903226
0.884615 0.911290
0.910256 0.911290
0.910256 0.935484
0.935897 0.935484
0.935897 0.943548
0.948718 0.943548
0.948718 0.959677
0.987179 0.959677
0.987179 0.991935
1.000000 0.991935
1.000000 1.000000
