# fpr mean_tpr
0.000000 0.000000
0.001001 0.044004
0.002002 0.044004
0.003003 0.044004
0.004004 0.044004
0.005005 0.044004
0.006006 0.044004
0.007007 0.044004
0.008008 0.044004
0.009009 0.044004
0.010010 0.044004
0.011011 0.044004
0.012012 0.044004
0.013013 0.054243
0.014014 0.054243
0.015015 0.054243
0.016016 0.054243
0.017017 0.054243
0.018018 0.054243
0.019019 0.054243
0.020020 0.054243
0.021021 0.054243
0.022022 0.054243
0.023023 0.054243
0.024024 0.054243
0.025025 0.054243
0.026026 0.073586
0.027027 0.073586
0.028028 0.073586
0.029029 0.073586
0.030030 0.073586
0.031031 0.073586
0.032032 0.073586
0.033033 0.073586
0.034034 0.073586
0.035035 0.073586
0.036036 0.073586
0.037037 0.073586
0.038038 0.073586
0.039039 0.094133
0.040040 0.094133
0.041041 0.094133
0.042042 0.094133
0.043043 0.094133
0.044044 0.094133
0.045045 0.094133
0.046046 0.094133
0.047047 0.094133
0.048048 0.094133
0.049049 0.094133
0.050050 0.094133
0.051051 0.094133
0.052052 0.113137
0.053053 0.113137
0.054054 0.113137
0.055055 0.113137
0.056056 0.113137
0.057057 0.113137
0.058058 0.113137
0.059059 0.113137
0.060060 0.113137
0.061061 0.113137
0.062062 0.113137
0.063063 0.113137
0.064064 0.113137
0.065065 0.125140
0.066066 0.125140
0.067067 0.125140
0.068068 0.125140
0.069069 0.125140
0.070070 0.125140
0.071071 0.125140
0.072072 0.125140
0.073073 0.125140
0.074074 0.125140
0.075075 0.125140
0.076076 0.125140
0.077077 0.146003
0.078078 0.146003
0.079079 0.146003
0.080080 0.146003
0.081081 0.146003
0.082082 0.146003
0.083083 0.146003
0.084084 0.146003
0.085085 0.146003
0.086086 0.146003
0.087087 0.146003
0.088088 0.146003
0.089089 0.146003
0.090090 0.160028
0.091091 0.160028
0.092092 0.160028
0.093093 0.160028
0.094094 0.160028
0.095095 0.160028
0.096096 0.160028
0.097097 0.160028
0.098098 0.160028
0.099099 0.160028
0.100100 0.160028
0.101101 0.160028
0.102102 0.160028
0.103103 0.170991
0.104104 0.170991
0.105105 0.170991
0.106106 0.170991
0.107107 0.170991
0.108108 0.170991
0.109109 0.170991
0.110110 0.170991
0.111111 0.170991
0.112112 0.170991
0.113113 0.170991
0.114114 0.170991
0.115115 0.170991
0.116116 0.186068
0.117117 0.186068
0.118118 0.186068
0.119119 0.186068
0.120120 0.186068
0.121121 0.186068
0.122122 0.186068
0.123123 0.186068
0.124124 0.186068
0.125125 0.186068
0.126126 0.186068
0.127127 0.186068
0.128128 0.186068
0.129129 0.218478
0.130130 0.218478
0.131131 0.218478
0.132132 0.218478
0.133133 0.218478
0.134134 0.218478
0.135135 0.218478
0.136136 0.218478
0.137137 0.218478
0.138138 0.218478
0.139139 0.218478
0.140140 0.218478
0.141141 0.242742
0.142142 0.242742
0.143143 0.242742
0.144144 0.242742
0.145145 0.242742
0.146146 0.242742
0.147147 0.242742
0.148148 0.242742
0.149149 0.242742
0.150150 0.242742
0.151151 0.242742
0.152152 0.242742
0.153153 0.242742
0.154154 0.261524
0.155155 0.261524
0.156156 0.261524
0.157157 0.261524
0.158158 0.261524
0.159159 0.261524
0.160160 0.261524
0.161161 0.261524
0.162162 0.261524
0.163163 0.261524
0.164164 0.261524
0.165165 0.261524
0.166166 0.261524
0.167167 0.278775
0.168168 0.278775
0.169169 0.278775
0.170170 0.278775
0.171171 0.278775
0.172172 0.278775
0.173173 0.278775
0.174174 0.278775
0.175175 0.278775
0.176176 0.278775
0.177177 0.278775
0.178178 0.278775
0.179179 0.278775
0.180180 0.284736
0.181181 0.284736
0.182182 0.284736
0.183183 0.284736
0.184184 0.284736
0.185185 0.284736
0.186186 0.284736
0.187187 0.284736
0.188188 0.284736
0.189189 0.284736
0.190190 0.284736
0.191191 0.284736
0.192192 0.284736
0.193193 0.299813
0.194194 0.299813
0.195195 0.299813
0.196196 0.299813
0.197197 0.299813
0.198198 0.299813
0.199199 0.299813
0.200200 0.299813
0.201201 0.299813
0.202202 0.299813
0.203203 0.299813
0.204204 0.299813
0.205205 0.314727
0.206206 0.314727
0.207207 0.314727
0.208208 0.314727
0.209209 0.314727
0.210210 0.314727
0.211211 0.314727
0.212212 0.314727
0.213213 0.314727
0.214214 0.314727
0.215215 0.314727
0.216216 0.314727
0.217217 0.314727
0.218218 0.325526
0.219219 0.325526
0.220220 0.325526
0.221221 0.325526
0.222222 0.325526
0.223223 0.325526
0.224224 0.325526
0.225225 0.325526
