label,0,1,2,3,4,5,6,7
0,8.3,0.0,0.3,0.2,0.4,0.0,0.0,0.0
1,0.0,15.9,0.0,0.0,0.0,0.0,0.0,0.0
2,1.5,0.0,14.3,0.8,0.0,0.0,0.0,0.0
3,0.1,0.0,0.1,16.3,2.6,0.0,0.0,0.0
4,1.6,0.0,0.0,0.4,14.3,0.0,0.0,0.0
5,0.2,0.0,0.0,0.0,0.9,15.4,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.1,18.7,0.0
7,0.1,0.0,0.0,0.0,0.0,0.0,0.0,17.1
