combination,accuracy,precision,recall
10,1.0,1.0,1.0
1,1.0,1.0,1.0
2,1.0,1.0,1.0
3,0.9927536231884058,0.9916666666666668,0.9928571428571429
4,0.27419354838709675,0.3920845112334474,0.29214285714285715
5,1.0,1.0,1.0
6,0.9919354838709677,0.9875,0.9928571428571429
7,0.9919354838709677,0.9882352941176471,0.9935483870967742
8,1.0,1.0,1.0
9,1.0,1.0,1.0
average,0.9250818139317438,0.9359486472017761,0.9271405529953917
