,0,1,2,3,4,5,6,7
0,5.5,1.5,0.8,1.4,0.0,0.0,0.0,0.0
1,0.0,15.6,0.0,0.3,0.0,0.0,0.0,0.0
2,0.0,0.1,16.3,0.1,0.1,0.0,0.0,0.0
3,0.1,0.2,0.0,18.6,0.0,0.0,0.2,0.0
4,0.0,0.0,0.1,0.0,16.0,0.0,0.2,0.0
5,0.0,0.0,0.2,0.0,0.3,15.8,0.0,0.2
6,0.0,1.5,0.0,0.0,0.0,0.1,17.1,0.1
7,0.0,0.5,0.2,0.0,0.5,0.5,0.0,15.5
