# fpr ccr
0.000000 0.000000
0.000000 0.016129
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.516129
0.000000 0.145161
0.000000 0.282258
0.000000 0.056452
0.000000 0.072581
0.000000 0.379032
0.000000 0.427419
0.012821 0.685484
0.012821 0.645161
0.012821 0.709677
0.012821 0.612903
0.025641 0.758065
0.025641 0.717742
0.038462 0.814516
0.038462 0.790323
0.051282 0.822581
0.064103 0.862903
0.064103 0.846774
0.076923 0.887097
0.076923 0.887097
0.076923 0.862903
0.089744 0.911290
0.089744 0.927419
0.089744 0.911290
0.141026 0.935484
0.153846 0.943548
0.166667 0.951613
0.166667 0.943548
0.166667 0.951613
0.192308 0.967742
0.205128 0.967742
0.217949 0.967742
0.230769 0.975806
0.243590 0.975806
0.256410 0.991935
0.256410 0.991935
0.294872 0.991935
0.307692 0.991935
0.333333 1.000000
0.371795 1.000000
0.397436 1.000000
0.397436 1.000000
0.410256 1.000000
0.423077 1.000000
0.423077 1.000000
0.461538 1.000000
0.474359 1.000000
0.500000 1.000000
0.500000 1.000000
0.525641 1.000000
0.538462 1.000000
0.576923 1.000000
0.641026 1.000000
0.653846 1.000000
0.692308 1.000000
0.717949 1.000000
0.769231 1.000000
0.807692 1.000000
0.858974 1.000000
0.897436 1.000000
0.910256 1.000000
0.961538 1.000000
0.974359 1.000000
0.974359 1.000000
0.987179 1.000000
1.000000 1.000000
1.000000 1.000000
1.000000 1.000000
1.000000 1.000000
1.000000 1.000000
1.000000 1.000000
1.000000 1.000000
1.000000 1.000000
1.000000 1.000000
1.000000 1.000000
1.000000 1.000000
1.000000 1.000000
1.000000 1.000000
1.000000 1.000000
1.000000 1.000000
1.000000 1.000000
1.000000 1.000000
1.000000 1.000000
1.000000 1.000000
1.000000 1.000000
1.000000 1.000000
1.000000 1.000000
1.000000 1.000000
1.000000 1.000000
1.000000 1.000000
1.000000 1.000000
1.000000 1.000000
1.000000 1.000000
1.000000 1.000000
