# fpr ccr
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.014493
0.000000 0.014493
0.012821 0.043478
0.012821 0.028986
0.025641 0.260870
0.025641 0.173913
0.025641 0.108696
0.051282 0.355072
0.076923 0.492754
0.076923 0.427536
0.089744 0.586957
0.102564 0.623188
0.128205 0.702899
0.141026 0.724638
0.166667 0.746377
0.205128 0.840580
0.205128 0.789855
0.230769 0.862319
0.256410 0.891304
0.269231 0.898551
0.282051 0.920290
0.307692 0.934783
0.333333 0.956522
0.358974 0.956522
0.384615 0.971014
0.397436 0.971014
0.410256 0.971014
0.410256 0.978261
0.410256 0.985507
0.410256 0.978261
0.410256 0.985507
0.448718 0.985507
0.448718 0.985507
0.461538 0.985507
0.487179 0.985507
0.487179 0.985507
0.512821 0.985507
0.512821 0.985507
0.512821 0.985507
0.525641 0.985507
0.589744 0.985507
0.589744 0.992754
0.602564 1.000000
0.615385 1.000000
0.653846 1.000000
0.666667 1.000000
0.692308 1.000000
0.705128 1.000000
0.705128 1.000000
0.743590 1.000000
0.756410 1.000000
0.794872 1.000000
0.820513 1.000000
0.871795 1.000000
0.884615 1.000000
0.897436 1.000000
0.923077 1.000000
0.923077 1.000000
0.948718 1.000000
0.961538 1.000000
0.974359 1.000000
0.987179 1.000000
0.987179 1.000000
1.000000 1.000000
1.000000 1.000000
1.000000 1.000000
1.000000 1.000000
1.000000 1.000000
1.000000 1.000000
1.000000 1.000000
1.000000 1.000000
1.000000 1.000000
1.000000 1.000000
1.000000 1.000000
1.000000 1.000000
1.000000 1.000000
1.000000 1.000000
1.000000 1.000000
1.000000 1.000000
1.000000 1.000000
1.000000 1.000000
1.000000 1.000000
1.000000 1.000000
1.000000 1.000000
1.000000 1.000000
1.000000 1.000000
1.000000 1.000000
1.000000 1.000000
1.000000 1.000000
1.000000 1.000000
1.000000 1.000000
1.000000 1.000000
1.000000 1.000000
1.000000 1.000000
1.000000 1.000000
