# fpr ccr
0.000000 0.000000
0.000000 0.000000
0.000000 0.130435
0.000000 0.021739
0.000000 0.304348
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.195652
0.000000 0.000000
0.012821 0.427536
0.025641 0.601449
0.025641 0.673913
0.025641 0.514493
0.051282 0.804348
0.051282 0.739130
0.064103 0.826087
0.076923 0.884058
0.089744 0.898551
0.102564 0.920290
0.115385 0.942029
0.115385 0.920290
0.128205 0.942029
0.141026 0.956522
0.166667 0.963768
0.179487 0.978261
0.179487 0.978261
0.179487 0.978261
0.192308 0.978261
0.205128 0.978261
0.230769 0.978261
0.294872 0.978261
0.294872 0.978261
0.294872 0.978261
0.307692 0.985507
0.320513 0.985507
0.333333 0.992754
0.333333 0.985507
0.333333 0.985507
0.333333 0.985507
0.346154 1.000000
0.346154 1.000000
0.358974 1.000000
0.371795 1.000000
0.410256 1.000000
0.423077 1.000000
0.461538 1.000000
0.474359 1.000000
0.487179 1.000000
0.512821 1.000000
0.564103 1.000000
0.589744 1.000000
0.589744 1.000000
0.589744 1.000000
0.628205 1.000000
0.692308 1.000000
0.717949 1.000000
0.743590 1.000000
0.756410 1.000000
0.782051 1.000000
0.794872 1.000000
0.794872 1.000000
0.820513 1.000000
0.846154 1.000000
0.884615 1.000000
0.910256 1.000000
0.923077 1.000000
0.961538 1.000000
0.974359 1.000000
0.987179 1.000000
0.987179 1.000000
1.000000 1.000000
1.000000 1.000000
1.000000 1.000000
1.000000 1.000000
1.000000 1.000000
1.000000 1.000000
1.000000 1.000000
1.000000 1.000000
1.000000 1.000000
1.000000 1.000000
1.000000 1.000000
1.000000 1.000000
1.000000 1.000000
1.000000 1.000000
1.000000 1.000000
1.000000 1.000000
1.000000 1.000000
1.000000 1.000000
1.000000 1.000000
1.000000 1.000000
1.000000 1.000000
1.000000 1.000000
1.000000 1.000000
1.000000 1.000000
1.000000 1.000000
1.000000 1.000000
1.000000 1.000000
1.000000 1.000000
1.000000 1.000000
