# fpr ccr
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.016129
0.000000 0.032258
0.012821 0.096774
0.025641 0.153226
0.038462 0.185484
0.051282 0.403226
0.051282 0.306452
0.064103 0.556452
0.064103 0.475806
0.076923 0.645161
0.115385 0.717742
0.141026 0.798387
0.141026 0.838710
0.141026 0.822581
0.141026 0.782258
0.141026 0.862903
0.166667 0.870968
0.192308 0.887097
0.205128 0.911290
0.230769 0.919355
0.294872 0.935484
0.333333 0.951613
0.358974 0.967742
0.358974 0.951613
0.371795 0.975806
0.371795 0.975806
0.397436 0.983871
0.423077 0.983871
0.448718 0.983871
0.461538 0.983871
0.474359 0.983871
0.487179 0.983871
0.500000 0.991935
0.512821 0.991935
0.525641 0.991935
0.525641 0.991935
0.576923 0.991935
0.589744 0.991935
0.628205 0.991935
0.653846 0.991935
0.666667 0.991935
0.717949 0.991935
0.730769 0.991935
0.743590 0.991935
0.743590 0.991935
0.756410 0.991935
0.794872 0.991935
0.794872 0.991935
0.794872 0.991935
0.807692 0.991935
0.820513 0.991935
0.820513 0.991935
0.820513 0.991935
0.846154 0.991935
0.858974 0.991935
0.884615 0.991935
0.897436 0.991935
0.910256 0.991935
0.923077 0.991935
0.948718 0.991935
0.948718 0.991935
0.961538 0.991935
0.987179 0.991935
1.000000 0.991935
1.000000 0.991935
1.000000 0.991935
1.000000 0.991935
1.000000 0.991935
1.000000 0.991935
1.000000 0.991935
1.000000 0.991935
1.000000 0.991935
1.000000 0.991935
1.000000 0.991935
1.000000 0.991935
1.000000 0.991935
1.000000 0.991935
1.000000 0.991935
1.000000 0.991935
1.000000 0.991935
1.000000 0.991935
1.000000 0.991935
1.000000 0.991935
1.000000 0.991935
1.000000 0.991935
1.000000 0.991935
1.000000 0.991935
1.000000 0.991935
1.000000 0.991935
1.000000 0.991935
1.000000 0.991935
1.000000 0.991935
1.000000 0.991935
1.000000 0.991935
1.000000 0.991935
