# fpr tpr
0.000000 0.000000
0.000000 0.008065
0.000000 0.016129
0.012821 0.016129
0.012821 0.096774
0.025641 0.096774
0.025641 0.153226
0.038462 0.153226
0.038462 0.354839
0.051282 0.354839
0.051282 0.435484
0.064103 0.435484
0.064103 0.467742
0.076923 0.467742
0.076923 0.483871
0.089744 0.483871
0.089744 0.830645
0.102564 0.830645
0.102564 0.838710
0.115385 0.838710
0.115385 0.846774
0.128205 0.846774
0.128205 0.879032
0.141026 0.879032
0.141026 0.943548
0.153846 0.943548
0.153846 0.975806
0.641026 0.975806
0.641026 0.991935
0.794872 0.991935
0.794872 1.000000
1.000000 1.000000
