# fpr ccr
0.000000 0.000000
0.000000 0.032258
0.000000 0.008065
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.088710
0.000000 0.048387
0.000000 0.137097
0.000000 0.008065
0.012821 0.306452
0.012821 0.443548
0.012821 0.201613
0.025641 0.604839
0.025641 0.540323
0.038462 0.661290
0.038462 0.741935
0.038462 0.693548
0.038462 0.637097
0.038462 0.782258
0.051282 0.838710
0.051282 0.822581
0.051282 0.846774
0.051282 0.814516
0.102564 0.870968
0.115385 0.870968
0.128205 0.879032
0.153846 0.903226
0.153846 0.879032
0.166667 0.927419
0.179487 0.927419
0.192308 0.935484
0.192308 0.935484
0.205128 0.935484
0.217949 0.935484
0.243590 0.943548
0.269231 0.943548
0.282051 0.943548
0.294872 0.951613
0.294872 0.951613
0.307692 0.951613
0.320513 0.975806
0.320513 0.959677
0.320513 0.951613
0.320513 0.967742
0.333333 0.983871
0.346154 0.983871
0.358974 0.983871
0.358974 0.983871
0.384615 0.983871
0.397436 0.983871
0.423077 0.983871
0.435897 0.983871
0.461538 0.983871
0.461538 0.983871
0.500000 0.983871
0.538462 0.983871
0.564103 0.983871
0.615385 0.983871
0.692308 0.983871
0.705128 0.983871
0.705128 0.983871
0.769231 0.983871
0.807692 0.983871
0.858974 0.983871
0.858974 0.983871
0.897436 0.983871
0.923077 0.983871
0.935897 0.983871
0.961538 0.983871
0.974359 0.983871
0.974359 0.983871
0.987179 0.983871
1.000000 0.983871
1.000000 0.983871
1.000000 0.983871
1.000000 0.983871
1.000000 0.983871
1.000000 0.983871
1.000000 0.983871
1.000000 0.983871
1.000000 0.983871
1.000000 0.983871
1.000000 0.983871
1.000000 0.983871
1.000000 0.983871
1.000000 0.983871
1.000000 0.983871
1.000000 0.983871
1.000000 0.983871
1.000000 0.983871
1.000000 0.983871
1.000000 0.983871
1.000000 0.983871
1.000000 0.983871
1.000000 0.983871
1.000000 0.983871
1.000000 0.983871
1.000000 0.983871
