# fpr tpr
0.000000 0.000000
0.000000 0.008065
0.000000 0.556452
0.012821 0.556452
0.012821 0.717742
0.025641 0.717742
0.025641 0.782258
0.038462 0.782258
0.038462 0.814516
0.051282 0.814516
0.051282 0.830645
0.064103 0.830645
0.064103 0.862903
0.076923 0.862903
0.076923 0.911290
0.089744 0.911290
0.089744 0.927419
0.128205 0.927419
0.128205 0.935484
0.153846 0.935484
0.153846 0.943548
0.166667 0.943548
0.166667 0.959677
0.179487 0.959677
0.179487 0.967742
0.230769 0.967742
0.230769 0.975806
0.243590 0.975806
0.243590 0.991935
0.333333 0.991935
0.333333 1.000000
1.000000 1.000000
