# fpr ccr
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.065217
0.000000 0.021739
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.012821 0.260870
0.012821 0.195652
0.012821 0.644928
0.012821 0.391304
0.012821 0.521739
0.012821 0.123188
0.038462 0.818841
0.038462 0.753623
0.038462 0.847826
0.038462 0.876812
0.038462 0.905797
0.051282 0.913043
0.051282 0.905797
0.076923 0.920290
0.089744 0.949275
0.089744 0.942029
0.089744 0.956522
0.089744 0.920290
0.115385 0.971014
0.115385 0.963768
0.141026 0.971014
0.153846 0.971014
0.166667 0.971014
0.166667 0.985507
0.166667 0.978261
0.166667 0.971014
0.166667 0.971014
0.205128 0.992754
0.269231 0.992754
0.294872 0.992754
0.294872 0.992754
0.294872 0.992754
0.333333 0.992754
0.346154 0.992754
0.346154 0.992754
0.358974 0.992754
0.384615 0.992754
0.410256 0.992754
0.410256 1.000000
0.435897 1.000000
0.448718 1.000000
0.487179 1.000000
0.487179 1.000000
0.500000 1.000000
0.512821 1.000000
0.564103 1.000000
0.615385 1.000000
0.666667 1.000000
0.692308 1.000000
0.717949 1.000000
0.717949 1.000000
0.743590 1.000000
0.756410 1.000000
0.769231 1.000000
0.807692 1.000000
0.833333 1.000000
0.910256 1.000000
0.910256 1.000000
0.935897 1.000000
0.974359 1.000000
0.987179 1.000000
0.987179 1.000000
1.000000 1.000000
1.000000 1.000000
1.000000 1.000000
1.000000 1.000000
1.000000 1.000000
1.000000 1.000000
1.000000 1.000000
1.000000 1.000000
1.000000 1.000000
1.000000 1.000000
1.000000 1.000000
1.000000 1.000000
1.000000 1.000000
1.000000 1.000000
1.000000 1.000000
1.000000 1.000000
1.000000 1.000000
1.000000 1.000000
1.000000 1.000000
1.000000 1.000000
1.000000 1.000000
1.000000 1.000000
1.000000 1.000000
1.000000 1.000000
1.000000 1.000000
1.000000 1.000000
1.000000 1.000000
1.000000 1.000000
1.000000 1.000000
1.000000 1.000000
