# fpr ccr
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.016129
0.012821 0.064516
0.025641 0.145161
0.038462 0.250000
0.051282 0.362903
0.076923 0.467742
0.089744 0.798387
0.089744 0.588710
0.089744 0.653226
0.089744 0.693548
0.089744 0.766129
0.089744 0.830645
0.089744 0.750000
0.115385 0.846774
0.128205 0.854839
0.141026 0.895161
0.141026 0.887097
0.141026 0.919355
0.141026 0.943548
0.153846 0.951613
0.153846 0.975806
0.153846 0.943548
0.166667 0.975806
0.179487 0.975806
0.192308 0.975806
0.205128 0.975806
0.205128 0.975806
0.217949 0.975806
0.217949 0.975806
0.230769 0.975806
0.256410 0.975806
0.282051 0.975806
0.282051 0.975806
0.282051 0.975806
0.294872 0.975806
0.320513 0.975806
0.320513 0.975806
0.384615 0.975806
0.410256 0.975806
0.423077 0.975806
0.435897 0.975806
0.512821 0.975806
0.538462 0.975806
0.551282 0.975806
0.589744 0.975806
0.615385 0.975806
0.615385 0.975806
0.641026 0.975806
0.641026 0.983871
0.653846 0.983871
0.666667 0.983871
0.679487 0.983871
0.743590 0.983871
0.769231 0.983871
0.794872 0.983871
0.833333 0.991935
0.858974 0.991935
0.884615 0.991935
0.897436 0.991935
0.897436 0.991935
0.910256 0.991935
0.935897 0.991935
0.948718 0.991935
0.961538 0.991935
1.000000 0.991935
1.000000 0.991935
1.000000 0.991935
1.000000 0.991935
1.000000 0.991935
1.000000 0.991935
1.000000 0.991935
1.000000 0.991935
1.000000 0.991935
1.000000 0.991935
1.000000 0.991935
1.000000 0.991935
1.000000 0.991935
1.000000 0.991935
1.000000 0.991935
1.000000 0.991935
1.000000 0.991935
1.000000 0.991935
1.000000 0.991935
1.000000 0.991935
1.000000 0.991935
1.000000 0.991935
1.000000 0.991935
1.000000 0.991935
1.000000 0.991935
1.000000 0.991935
1.000000 0.991935
1.000000 0.991935
1.000000 0.991935
1.000000 0.991935
1.000000 0.991935
